zip,geo_status,production_dev_pairs,shadow_dev_pairs,intersection,production_only_refuted,shadow_only_added,points_resolved,missing_descriptive_fields,satisfies_maps_shape
01602,boundary_complete,1327,5,5,1322,0,5,0,YES
01603,boundary_complete,923,5,5,918,0,5,0,YES
01604,boundary_complete,1695,23,23,1672,0,23,0,YES
01605,boundary_complete,1065,21,21,1044,0,21,0,YES
01606,boundary_complete,1319,7,7,1312,0,7,0,YES
01607,boundary_complete,358,14,14,344,0,14,0,YES
01608,boundary_complete,187,10,10,177,0,10,0,YES
01609,boundary_complete,738,7,7,731,0,7,0,YES
01610,boundary_complete,591,20,20,571,0,20,0,YES
01611,boundary_complete,29,0,0,29,0,0,0,YES
01612,boundary_complete,3,1,1,2,0,1,0,YES
01613,not_measured,55,0,0,,0,0,0,PRESERVES_LEGACY
01614,not_measured,69,0,0,,0,0,0,PRESERVES_LEGACY
01615,not_measured,69,0,0,,0,0,0,PRESERVES_LEGACY
01653,not_measured,7,0,0,,0,0,0,PRESERVES_LEGACY
01655,not_measured,7,0,0,,0,0,0,PRESERVES_LEGACY
01701,boundary_complete,37,19,18,19,1,19,0,YES
01702,boundary_complete,36,26,24,12,2,26,0,YES
01703,not_measured,15,0,0,,0,0,0,PRESERVES_LEGACY
01704,not_measured,15,0,0,,0,0,0,PRESERVES_LEGACY
01705,not_measured,15,0,0,,0,0,0,PRESERVES_LEGACY
01718,boundary_complete,13,1,1,12,0,1,0,YES
01719,boundary_complete,13,6,6,7,0,6,0,YES
01720,boundary_complete,20,8,8,12,0,8,0,YES
01721,boundary_complete,34,11,11,23,0,11,0,YES
01730,boundary_complete,28,12,12,16,0,12,0,YES
01731,boundary_complete,29,0,0,29,0,0,0,YES
01740,boundary_complete,8,5,5,3,0,5,0,YES
01741,boundary_complete,6,1,1,5,0,1,0,YES
01742,boundary_complete,15,10,10,5,0,10,0,YES
01745,boundary_complete,33,3,3,30,0,3,0,YES
01746,boundary_complete,11,6,6,5,0,6,0,YES
01747,boundary_complete,15,2,2,13,0,2,0,YES
01748,boundary_complete,17,21,16,1,5,21,0,YES
01749,boundary_complete,23,12,12,11,0,12,0,YES
01752,boundary_complete,27,20,20,7,0,20,0,YES
01754,boundary_complete,16,4,4,12,0,4,0,YES
01756,boundary_complete,3,1,1,2,0,1,0,YES
01757,boundary_complete,17,14,14,3,0,14,0,YES
01760,boundary_complete,33,20,20,13,0,20,0,YES
01770,boundary_complete,13,1,1,12,0,1,0,YES
01772,boundary_complete,34,23,23,11,0,23,0,YES
01773,boundary_complete,15,5,5,10,0,5,0,YES
01775,boundary_complete,12,4,4,8,0,4,0,YES
01776,boundary_complete,9,8,8,1,0,8,0,YES
01778,boundary_complete,30,16,16,14,0,16,0,YES
01784,not_measured,26,0,0,,0,0,0,PRESERVES_LEGACY
01801,boundary_complete,46,19,19,27,0,19,0,YES
01803,boundary_complete,33,17,17,16,0,17,0,YES
01805,not_measured,32,0,0,,0,0,0,PRESERVES_LEGACY
01810,boundary_complete,24,19,18,6,1,19,0,YES
01812,not_measured,28,0,0,,0,0,0,PRESERVES_LEGACY
01813,not_measured,49,0,0,,0,0,0,PRESERVES_LEGACY
01815,not_measured,49,0,0,,0,0,0,PRESERVES_LEGACY
01821,boundary_complete,21,14,14,7,0,14,0,YES
01822,not_measured,18,0,0,,0,0,0,PRESERVES_LEGACY
01824,boundary_complete,32,28,28,4,0,28,0,YES
01825,not_measured,17,0,0,,0,0,0,PRESERVES_LEGACY
01826,boundary_complete,22,4,4,18,0,4,0,YES
01827,boundary_complete,8,3,3,5,0,3,0,YES
01830,boundary_complete,19,10,9,10,1,10,0,YES
01831,not_measured,19,0,0,,0,0,0,PRESERVES_LEGACY
01832,boundary_complete,19,5,5,14,0,5,0,YES
01833,boundary_complete,9,7,7,2,0,7,0,YES
01834,boundary_complete,11,2,2,9,0,2,0,YES
01835,boundary_complete,23,7,7,16,0,7,0,YES
01840,boundary_complete,47,6,6,41,0,6,0,YES
01841,boundary_complete,48,13,13,35,0,13,0,YES
01842,not_measured,47,0,0,,0,0,0,PRESERVES_LEGACY
01843,boundary_complete,45,10,10,35,0,10,0,YES
01844,boundary_complete,43,17,17,26,0,17,0,YES
01845,boundary_complete,29,8,8,21,0,8,0,YES
01850,boundary_complete,39,5,5,34,0,5,0,YES
01851,boundary_complete,51,10,10,41,0,10,0,YES
01852,boundary_complete,48,20,20,28,0,20,0,YES
01853,not_measured,49,0,0,,0,0,0,PRESERVES_LEGACY
01854,boundary_complete,44,11,11,33,0,11,0,YES
01860,boundary_complete,8,5,5,3,0,5,0,YES
01862,boundary_complete,32,7,7,25,0,7,0,YES
01863,boundary_complete,29,6,6,23,0,6,0,YES
01864,boundary_complete,13,5,5,8,0,5,0,YES
01865,not_measured,19,0,0,,0,0,0,PRESERVES_LEGACY
01866,not_measured,33,0,0,,0,0,0,PRESERVES_LEGACY
01867,boundary_complete,45,20,20,25,0,20,0,YES
01876,boundary_complete,28,22,22,6,0,22,0,YES
01879,boundary_complete,14,9,9,5,0,9,0,YES
01880,boundary_complete,49,18,18,31,0,18,0,YES
01885,not_measured,7,0,0,,0,0,0,PRESERVES_LEGACY
01886,boundary_complete,19,17,16,3,1,17,0,YES
01887,boundary_complete,30,21,21,9,0,21,0,YES
01888,not_measured,49,0,0,,0,0,0,PRESERVES_LEGACY
01889,not_measured,23,0,0,,0,0,0,PRESERVES_LEGACY
01890,boundary_complete,41,7,7,34,0,7,0,YES
01899,not_measured,24,0,0,,0,0,0,PRESERVES_LEGACY
01901,boundary_complete,26,1,1,25,0,1,0,YES
01902,boundary_complete,27,6,6,21,0,6,0,YES
01903,not_measured,26,0,0,,0,0,0,PRESERVES_LEGACY
01904,boundary_complete,45,7,7,38,0,7,0,YES
01905,boundary_complete,32,10,10,22,0,10,0,YES
01906,boundary_complete,34,14,14,20,0,14,0,YES
01907,boundary_complete,21,1,1,20,0,1,0,YES
01908,boundary_complete,13,1,1,12,0,1,0,YES
01910,not_measured,34,0,0,,0,0,0,PRESERVES_LEGACY
01913,boundary_complete,16,12,12,4,0,12,0,YES
01915,boundary_complete,34,13,13,21,0,13,0,YES
01921,boundary_complete,8,7,7,1,0,7,0,YES
01922,boundary_complete,8,5,5,3,0,5,0,YES
01923,boundary_complete,44,20,20,24,0,20,0,YES
01929,boundary_complete,7,5,5,2,0,5,0,YES
01930,boundary_complete,9,9,8,1,1,9,0,YES
01931,not_measured,9,0,0,,0,0,0,PRESERVES_LEGACY
01936,not_measured,11,0,0,,0,0,0,PRESERVES_LEGACY
01937,boundary_complete,26,0,0,26,0,0,0,YES
01938,boundary_complete,9,9,8,1,1,9,0,YES
01940,boundary_complete,34,17,17,17,0,17,0,YES
01944,boundary_complete,6,4,4,2,0,4,0,YES
01945,boundary_complete,27,3,3,24,0,3,0,YES
01949,boundary_complete,15,7,7,8,0,7,0,YES
01950,boundary_complete,20,7,7,13,0,7,0,YES
01951,boundary_complete,4,3,2,2,1,3,0,YES
01952,boundary_complete,15,8,8,7,0,8,0,YES
01960,boundary_complete,46,20,19,27,1,20,0,YES
01961,not_measured,11,0,0,,0,0,0,PRESERVES_LEGACY
01965,boundary_complete,9,1,1,8,0,1,0,YES
01966,boundary_complete,5,1,1,4,0,1,0,YES
01969,boundary_complete,10,4,4,6,0,4,0,YES
01970,boundary_complete,48,20,20,28,0,20,0,YES
01971,not_measured,11,0,0,,0,0,0,PRESERVES_LEGACY
01982,boundary_complete,11,4,4,7,0,4,0,YES
01983,boundary_complete,14,7,7,7,0,7,0,YES
01984,boundary_complete,15,4,4,11,0,4,0,YES
