zip3,pages,fully_populated,pct_fully_populated,adjudicated,pending,terminal,placed_by_polygon,boundary_first_probed
689,2,0,0.0,0,4,0,0,no
700,5,3,60.0,682,2,0,0,no
701,21,10,47.6,11902,20,0,0,no
707,6,5,83.3,184,1,0,0,no
708,18,18,100.0,1104,0,0,0,no
719,8,0,0.0,2,30,0,0,no
720,35,0,0.0,28,1113,0,0,no
721,31,0,0.0,24,1128,0,0,no
722,12,0,0.0,34,47404,0,0,no
724,17,0,0.0,30,146,0,0,no
725,1,0,0.0,0,1,0,0,no
727,34,1,2.9,31724,263,0,0,no
729,18,0,0.0,10,122,0,0,no
730,30,0,0.0,0,121,0,0,no
731,42,0,0.0,0,431,0,0,no
733,2,0,0.0,878,68,0,0,no
735,6,0,0.0,0,10,0,0,no
737,1,0,0.0,0,3,0,0,no
740,33,0,0.0,0,141,0,0,no
741,29,0,0.0,0,198,0,0,no
743,4,0,0.0,0,18,0,0,no
744,7,0,0.0,0,23,0,0,no
748,4,0,0.0,0,14,0,0,no
750,74,0,0.0,21752,3810,0,0,no
751,19,0,0.0,0,1570,0,0,no
752,67,0,0.0,39,16837,0,0,no
753,52,0,0.0,8,18274,0,0,no
754,6,0,0.0,0,140,0,0,no
760,36,0,0.0,67051,5214,0,0,no
761,59,0,0.0,13020,2657,0,0,no
762,20,0,0.0,7463,627,0,0,no
765,7,0,0.0,0,58,0,0,no
770,1,0,0.0,0,18,0,0,no
773,25,0,0.0,0,533,0,0,no
774,18,0,0.0,0,473,0,0,no
775,2,0,0.0,0,17,0,0,no
780,1,0,0.0,0,5,0,0,no
781,6,0,0.0,0,133,0,0,no
782,2,0,0.0,163,15,0,0,no
786,44,0,0.0,1825,710,5,0,no
787,79,0,0.0,69192,2823,0,0,no
798,7,0,0.0,71,99,0,0,no
799,62,0,0.0,1325,3548,0,0,no
800,14,12,85.7,22096,2,0,0,no
801,9,9,100.0,1728,0,0,0,no
802,28,8,28.6,30089,33,0,0,no
803,5,5,100.0,0,0,1183,0,no
805,11,0,0.0,0,1023,0,0,no
806,8,1,12.5,1146,369,0,0,no
808,3,3,100.0,115,0,0,0,no
809,26,21,80.8,3577,5,0,0,no
820,14,0,0.0,32,60,0,0,no
822,1,0,0.0,8,3,0,0,no
823,3,0,0.0,5,16,0,0,no
824,4,1,25.0,7,6,0,0,no
825,6,1,16.7,2,10,0,0,no
826,12,0,0.0,2,64,0,0,no
827,4,0,0.0,5,11,0,0,no
828,12,3,25.0,6473,35,0,0,no
829,8,0,0.0,5,25,0,0,no
830,3,0,0.0,2,17,0,0,no
831,2,0,0.0,1,4,0,0,no
833,13,1,7.7,13,26,0,0,no
834,12,0,0.0,29,41,0,0,no
835,2,0,0.0,0,5,0,0,no
836,19,1,5.3,5717,113,0,0,no
837,12,0,0.0,131,120,0,0,no
838,25,0,0.0,28,80,0,0,no
840,83,1,1.2,132,2114,0,0,no
841,23,0,0.0,1068,2313,0,0,no
843,34,2,5.9,11,336,0,0,no
844,10,0,0.0,99,658,0,0,no
845,23,0,0.0,2,142,0,0,no
846,49,0,0.0,208,642,0,0,no
847,60,0,0.0,4,520,0,0,no
850,44,5,11.4,78741,352,0,0,no
851,16,0,0.0,135,34,0,0,no
852,40,8,20.0,10860,437,0,0,no
853,41,2,4.9,11356,142,0,0,no
855,1,0,0.0,0,1,0,0,no
856,10,2,20.0,6,9,0,0,no
857,34,4,11.8,13442,188,0,0,no
859,9,0,0.0,0,52,0,0,no
860,18,0,0.0,0,1845,0,0,no
863,7,0,0.0,0,50,0,0,no
864,3,0,0.0,0,5,0,0,no
870,3,3,100.0,84,0,0,0,no
871,21,21,100.0,6869,0,0,0,no
885,77,0,0.0,1604,5485,0,0,no
890,36,0,0.0,10668,3973,0,7729,yes
891,45,0,0.0,2812,3067,0,0,no
893,1,0,0.0,0,1,0,0,no
894,30,0,0.0,35,477,0,0,no
895,12,0,0.0,419,538,0,0,no
897,5,0,0.0,0,174,0,0,no
898,10,0,0.0,0,32,0,0,no
902,1,0,0.0,0,5,0,0,no
906,2,0,0.0,0,24,0,0,no
907,4,0,0.0,0,42,0,0,no
913,4,0,0.0,0,14,0,0,no
919,19,3,15.8,1086,119,0,0,no
920,22,2,9.1,1743,111,0,0,no
921,43,17,39.5,22350,1029,0,0,no
925,1,0,0.0,0,6,0,0,no
926,9,1,11.1,5,78,0,0,no
927,7,6,85.7,242,16,0,0,no
928,18,15,83.3,725,63,796,0,no
930,11,0,0.0,0,142,0,0,no
932,1,0,0.0,0,1,0,0,no
934,26,3,11.5,16737,544,0,0,no
940,20,2,10.0,326,440,0,0,no
943,2,0,0.0,0,19,0,0,no
944,1,0,0.0,0,20,0,0,no
945,32,0,0.0,1,488,0,0,no
946,7,0,0.0,0,647,0,0,no
947,3,0,0.0,0,93,0,0,no
948,1,0,0.0,0,24,0,0,no
949,28,6,21.4,712,274,0,0,no
950,14,5,35.7,10915,165,0,0,no
951,28,15,53.6,61526,271,0,0,no
953,1,0,0.0,0,9,0,0,no
954,20,0,0.0,1479,191,0,0,no
967,65,0,0.0,0,560,0,0,no
968,20,0,0.0,0,1220,0,0,no
970,19,6,31.6,128,30,0,0,no
971,8,2,25.0,4,8,0,0,no
972,34,24,70.6,6887,65,0,0,no
973,22,9,40.9,3916,18,0,0,no
974,8,1,12.5,25,16,0,0,no
975,12,5,41.7,5101,8,0,0,no
977,5,1,20.0,7925,6,0,0,no
980,64,0,0.0,349,1007,0,0,no
981,47,0,0.0,6123,1753,0,0,no
982,52,0,0.0,0,358,0,0,no
983,30,8,26.7,6864,127,0,0,no
984,33,2,6.1,11535,300,0,0,no
985,19,5,26.3,1356,51,0,0,no
986,18,0,0.0,75,196,0,0,no
989,19,0,0.0,0,118,0,0,no
990,24,0,0.0,3377,86,0,0,no
992,23,1,4.3,3360,326,0,0,no
993,9,0,0.0,0,54,0,0,no
995,13,13,100.0,165,0,0,0,no
996,6,6,100.0,15,0,0,0,no
997,5,5,100.0,23,0,0,0,no
998,3,3,100.0,120,0,0,0,no
999,1,0,0.0,31,2,0,0,no
